M,N,processos,tempo
512,512,2,0.001415
512,512,4,0.001195
512,512,8,0.001212
512,512,16,0.001784
512,512,32,0.003050
1024,1024,2,0.004526
1024,1024,4,0.005462
1024,1024,8,0.006038
1024,1024,16,0.003980
1024,1024,32,0.006743
2048,2048,2,0.016705
2048,2048,4,0.016789
2048,2048,8,0.018831
2048,2048,16,0.012790
2048,2048,32,0.014734
4096,4096,2,0.062720
4096,4096,4,0.060904
4096,4096,8,0.067216
4096,4096,16,0.037610
4096,4096,32,0.050776
